Product_ID	Product_URL	Youtube_Video_URLs
199316588	https://www.tokopedia.com/oneworldmihome/xiaomi-mi-6-6-64gb-black	https://www.youtube.com/watch?v=NP6QjamlXSM
185413451	https://www.tokopedia.com/yesmiphone/xiaomi-mi6-mi-6-black-ram-6gb-internal-64gb-garansi-distributor-1-th	https://www.youtube.com/watch?v=NP6QjamlXSM
184049538	https://www.tokopedia.com/kedaifashion/xiaomi-mi6-6-64-black-garansi-distributor-1-tahun	https://www.youtube.com/watch?v=NP6QjamlXSM
189564552	https://www.tokopedia.com/canon-store/canon-digital-eos-6d-body-only-wifi-1	https://www.youtube.com/watch?v=Y9fbErquoeU,https://www.youtube.com/watch?v=Met7mzR85dw,https://www.youtube.com/watch?v=pKSYEbbIdpc,https://www.youtube.com/watch?v=_zHBE6FSHeU,https://www.youtube.com/watch?v=KLzdUs_Nr9g
86232981	https://www.tokopedia.com/oppo/oppo-f1s-32gb-selfie-expert-rose-gold	https://www.youtube.com/watch?v=Ba8PHvEQXVo,https://www.youtube.com/watch?v=Me_EbtCyKgA
86248537	https://www.tokopedia.com/oppo/oppo-neo-7-16gb-white-putih	https://www.youtube.com/watch?v=NS0FYSApy6s,https://www.youtube.com/watch?v=LE8ixRfFeq4,https://www.youtube.com/watch?v=SGicozYr9y4
86247948	https://www.tokopedia.com/oppo/oppo-a37-16gb-rose-gold-1	https://www.youtube.com/watch?v=4wJJDObLMHg,https://www.youtube.com/watch?v=QP8PQ0UrOKU
176051431	https://www.tokopedia.com/lg-mobile/lg-g5-se-gold	https://www.youtube.com/watch?v=tY5gKc8cvR4
176074846	https://www.tokopedia.com/lg-mobile/lg-x-power-gold	https://www.youtube.com/watch?v=TgOQF3jBraE,https://www.youtube.com/watch?v=2-JTi80eQK8,https://www.youtube.com/watch?v=DYqyrwVGbBI
175321985	https://www.tokopedia.com/lg-mobile/lg-k10-2017-gold	https://www.youtube.com/watch?v=khgLlINAgJs,https://www.youtube.com/watch?v=7ciPghHwoXs,https://www.youtube.com/watch?v=CdhXZpmd18g
207814708	https://www.tokopedia.com/pondok-apple/termurah-ready-bnib-iphone-7-plus-128gb-red-garansi-apple-1-tahun	https://www.youtube.com/watch?v=mWEG1nu2rVY,https://www.youtube.com/watch?v=wgZ7Q4ywOl8,https://www.youtube.com/watch?v=oKR2fh09Nic,https://www.youtube.com/watch?v=12JBG20n3jI
